Ticker,ShortName,Sector,Industry,Price
IPG,"Interpublic Group of Companies,",Communication Services,Advertising Agencies,25.375
INTU,Intuit Inc.,Technology,Software - Application,630.365
ISRG,"Intuitive Surgical, Inc.",Healthcare,Medical Instruments & Supplies,527.51
IVZ,Invesco Ltd,Financial Services,Asset Management,14.355
INVH,Invitation Homes Inc.,Real Estate,REIT - Residential,35.44
IQV,"IQVIA Holdings, Inc.",Healthcare,Diagnostics & Research,153.29
IRM,Iron Mountain Incorporated (Del,Real Estate,REIT - Specialty,96.09
JBHT,"J.B. Hunt Transport Services, I",Industrials,Integrated Freight & Logistics,133.38
JBL,Jabil Inc.,Technology,Electronic Components,151.2
JKHY,"Jack Henry & Associates, Inc.",Technology,Information Technology Services,174.37
J,Jacobs Solutions Inc.,Industrials,Engineering & Construction,125.91
JNJ,Johnson & Johnson,Healthcare,Drug Manufacturers - General,155.41
JCI,Johnson Controls International ,Industrials,Building Products & Equipment,88.625
JPM,JP Morgan Chase & Co.,Financial Services,Banks - Diversified,252.22
JNPR,"Juniper Networks, Inc.",Technology,Communication Equipment,36.56
K,Kellanova,Consumer Defensive,Packaged Foods,82.76
KVUE,Kenvue Inc.,Consumer Defensive,Household & Personal Products,23.785
KDP,Keurig Dr Pepper Inc.,Consumer Defensive,Beverages - Non-Alcoholic,34.515
KEY,KeyCorp,Financial Services,Banks - Regional,15.395
KEYS,Keysight Technologies Inc.,Technology,Scientific & Technical Instruments,148.18
KMB,Kimberly-Clark Corporation,Consumer Defensive,Household & Personal Products,129.745
KIM,Kimco Realty Corporation (HC),Real Estate,REIT - Retail,21.04
KMI,"Kinder Morgan, Inc.",Energy,Oil & Gas Midstream,26.7207
KKR,KKR & Co. Inc.,Financial Services,Asset Management,116.325
KLAC,KLA Corporation,Technology,Semiconductor Equipment & Materials,701.365
KHC,The Kraft Heinz Company,Consumer Defensive,Packaged Foods,28.71
KR,Kroger Company (The),Consumer Defensive,Grocery Stores,71.46
LHX,"L3Harris Technologies, Inc.",Industrials,Aerospace & Defense,220.99
LH,Labcorp Holdings Inc.,Healthcare,Diagnostics & Research,245.715
LRCX,Lam Research Corporation,Technology,Semiconductor Equipment & Materials,74.86
LW,"Lamb Weston Holdings, Inc.",Consumer Defensive,Packaged Foods,52.2624
LVS,Las Vegas Sands Corp.,Consumer Cyclical,Resorts & Casinos,37.705
LDOS,"Leidos Holdings, Inc.",Technology,Information Technology Services,147.725
LEN,Lennar Corporation,Consumer Cyclical,Residential Construction,109.9671
LII,"Lennox International, Inc.",Industrials,Building Products & Equipment,562.65
LLY,Eli Lilly and Company,Healthcare,Drug Manufacturers - General,817.49
LIN,Linde plc,Basic Materials,Specialty Chemicals,455.29
LYV,"Live Nation Entertainment, Inc.",Communication Services,Entertainment,131.8398
LKQ,LKQ Corporation,Consumer Cyclical,Auto Parts,38.763
LMT,Lockheed Martin Corporation,Industrials,Aerospace & Defense,479.18
L,Loews Corporation,Financial Services,Insurance - Property & Casualty,87.6001
LOW,"Lowe's Companies, Inc.",Consumer Cyclical,Home Improvement Retail,225.345
LULU,lululemon athletica inc.,Consumer Cyclical,Apparel Retail,276.885
LYB,LyondellBasell Industries NV,Basic Materials,Specialty Chemicals,58.49
MTB,M&T Bank Corporation,Financial Services,Banks - Regional,174.845
MPC,Marathon Petroleum Corporation,Energy,Oil & Gas Refining & Marketing,139.75
MKTX,"MarketAxess Holdings, Inc.",Financial Services,Capital Markets,223.685
MAR,Marriott International,Consumer Cyclical,Lodging,248.355
MMC,"Marsh & McLennan Companies, Inc",Financial Services,Insurance Brokers,226.41
MLM,"Martin Marietta Materials, Inc.",Basic Materials,Building Materials,535.25
MAS,Masco Corporation,Industrials,Building Products & Equipment,61.79
MA,Mastercard Incorporated,Financial Services,Credit Services,557.305
MTCH,"Match Group, Inc.",Communication Services,Internet Content & Information,30.79
MKC,"McCormick & Company, Incorporat",Consumer Defensive,Packaged Foods,75.89
MCD,McDonald's Corporation,Consumer Cyclical,Restaurants,311.35
MCK,McKesson Corporation,Healthcare,Medical Distribution,709.08
MDT,Medtronic plc.,Healthcare,Medical Devices,84.36
MRK,"Merck & Company, Inc.",Healthcare,Drug Manufacturers - General,83.7128
META,"Meta Platforms, Inc.",Communication Services,Internet Content & Information,599.527
MET,"MetLife, Inc.",Financial Services,Insurance - Life,77.615
MTD,"Mettler-Toledo International, I",Healthcare,Diagnostics & Research,1073.07
MGM,MGM Resorts International,Consumer Cyclical,Resorts & Casinos,32.205
MCHP,Microchip Technology Incorporat,Technology,Semiconductors,47.74
MU,"Micron Technology, Inc.",Technology,Semiconductors,80.33
MSFT,Microsoft Corporation,Technology,Software - Infrastructure,435.114
MAA,Mid-America Apartment Communiti,Real Estate,REIT - Residential,166.595
MRNA,"Moderna, Inc.",Healthcare,Biotechnology,27.62
MHK,"Mohawk Industries, Inc.",Consumer Cyclical,"Furnishings, Fixtures & Appliances",103.21
MOH,Molina Healthcare Inc,Healthcare,Healthcare Plans,314.555
TAP,Molson Coors Beverage Company,Consumer Defensive,Beverages - Brewers,57.72
MDLZ,"Mondelez International, Inc.",Consumer Defensive,Confectioners,67.5439
MPWR,"Monolithic Power Systems, Inc.",Technology,Semiconductors,627.9336
MNST,Monster Beverage Corporation,Consumer Defensive,Beverages - Non-Alcoholic,59.65
MCO,Moody's Corporation,Financial Services,Financial Data & Stock Exchanges,461.07
MS,Morgan Stanley,Financial Services,Capital Markets,119.48
MOS,Mosaic Company (The),Basic Materials,Agricultural Inputs,30.385
MSI,"Motorola Solutions, Inc.",Technology,Communication Equipment,413.42
MSCI,MSCI Inc.,Financial Services,Financial Data & Stock Exchanges,552.775
NDAQ,"Nasdaq, Inc.",Financial Services,Financial Data & Stock Exchanges,77.34
NTAP,"NetApp, Inc.",Technology,Computer Hardware,91.68
NFLX,"Netflix, Inc.",Communication Services,Entertainment,1150.0
NEM,Newmont Corporation,Basic Materials,Gold,51.53
