Ticker,ShortName,Sector,Industry,Price
STLD,Steel Dynamics,Materials,Steel,134.88999938964844
STE,Steris,Health Care,Health Care Equipment,223.9049072265625
SYK,Stryker Corporation,Health Care,Health Care Equipment,375.7900085449219
SMCI,Supermicro,Information Technology,"Technology Hardware, Storage & Peripherals",33.7400016784668
SYF,Synchrony Financial,Financials,Consumer Finance,54.040000915527344
SNPS,Synopsys,Information Technology,Application Software,473.989990234375
SYY,Sysco,Consumer Staples,Food Distributors,70.37000274658203
TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,249.00010681152344
TROW,T. Rowe Price,Financials,Asset Management & Custody Banks,91.5999984741211
TTWO,Take-Two Interactive,Communication Services,Interactive Home Entertainment,220.8101043701172
TPR,"Tapestry, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods",71.87000274658203
TRGP,Targa Resources,Energy,Oil & Gas Storage & Transportation,162.6300048828125
TGT,Target Corporation,Consumer Staples,Consumer Staples Merchandise Retail,97.49710083007812
TEL,TE Connectivity,Information Technology,Electronic Manufacturing Services,149.89500427246094
TDY,Teledyne Technologies,Information Technology,Electronic Equipment & Instruments,477.7900085449219
TER,Teradyne,Information Technology,Semiconductor Materials & Equipment,76.8499984741211
TSLA,"Tesla, Inc.",Consumer Discretionary,Automobile Manufacturers,287.6899108886719
TXN,Texas Instruments,Information Technology,Semiconductors,165.9532928466797
TPL,Texas Pacific Land Corporation,Energy,Oil & Gas Exploration & Production,1354.7750244140625
TXT,Textron,Industrials,Aerospace & Defense,71.19000244140625
TMO,Thermo Fisher Scientific,Health Care,Life Sciences Tools & Services,424.864990234375
TJX,TJX Companies,Consumer Discretionary,Apparel Retail,129.3249969482422
TKO,TKO Group Holdings,Communication Services,Movies & Entertainment,165.44000244140625
TSCO,Tractor Supply,Consumer Discretionary,Other Specialty Retail,50.9900016784668
TT,Trane Technologies,Industrials,Building Products,400.07000732421875
TDG,TransDigm Group,Industrials,Aerospace & Defense,1453.1400146484375
TRV,Travelers Companies (The),Financials,Property & Casualty Insurance,265.7099914550781
TRMB,Trimble Inc.,Information Technology,Electronic Equipment & Instruments,64.33999633789062
TFC,Truist Financial,Financials,Diversified Banks,39.44499969482422
TYL,Tyler Technologies,Information Technology,Application Software,548.5999755859375
TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,61.02000045776367
USB,U.S. Bancorp,Financials,Diversified Banks,41.404998779296875
UBER,Uber,Industrials,Passenger Ground Transportation,84.24500274658203
UDR,"UDR, Inc.",Real Estate,Multi-Family Residential REITs,43.720001220703125
ULTA,Ulta Beauty,Consumer Discretionary,Other Specialty Retail,395.3999938964844
UNP,Union Pacific Corporation,Industrials,Rail Transportation,218.42999267578125
UAL,United Airlines Holdings,Industrials,Passenger Airlines,74.38999938964844
UPS,United Parcel Service,Industrials,Air Freight & Logistics,97.12000274658203
URI,United Rentals,Industrials,Trading Companies & Distributors,667.905029296875
UNH,UnitedHealth Group,Health Care,Managed Health Care,399.2900085449219
UHS,Universal Health Services,Health Care,Health Care Facilities,177.9499969482422
VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing,116.58999633789062
VTR,Ventas,Real Estate,Health Care REITs,66.20999908447266
VLTO,Veralto,Industrials,Environmental & Facilities Services,94.99500274658203
VRSN,Verisign,Information Technology,Internet Services & Infrastructure,282.95001220703125
VRSK,Verisk Analytics,Industrials,Research & Consulting Services,293.6400146484375
VZ,Verizon,Communication Services,Integrated Telecommunication Services,43.64609909057617
VRTX,Vertex Pharmaceuticals,Health Care,Biotechnology,501.18499755859375
VTRS,Viatris,Health Care,Pharmaceuticals,8.654999732971191
VICI,Vici Properties,Real Estate,Hotel & Resort REITs,31.594999313354492
V,Visa Inc.,Financials,Transaction & Payment Processing Services,348.91009521484375
VST,Vistra Corp.,Utilities,Electric Utilities,140.8300018310547
VMC,Vulcan Materials Company,Materials,Construction Materials,268.3349914550781
WRB,W. R. Berkley Corporation,Financials,Property & Casualty Insurance,72.19000244140625
GWW,W. W. Grainger,Industrials,Industrial Machinery & Supplies & Components,1069.93505859375
WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,191.97999572753906
WBA,Walgreens Boots Alliance,Consumer Staples,Drug Retail,10.944999694824219
WMT,Walmart,Consumer Staples,Consumer Staples Merchandise Retail,98.61000061035156
DIS,Walt Disney Company (The),Communication Services,Movies & Entertainment,92.81999969482422
WBD,Warner Bros. Discovery,Communication Services,Broadcasting,8.609999656677246
WM,Waste Management,Industrials,Environmental & Facilities Services,234.14500427246094
WAT,Waters Corporation,Health Care,Life Sciences Tools & Services,349.9049987792969
WEC,WEC Energy Group,Utilities,Electric Utilities,108.5199966430664
WFC,Wells Fargo,Financials,Diversified Banks,73.98999786376953
WELL,Welltower,Real Estate,Health Care REITs,150.3300018310547
WST,West Pharmaceutical Services,Health Care,Health Care Supplies,212.05999755859375
WDC,Western Digital,Information Technology,"Technology Hardware, Storage & Peripherals",44.650001525878906
WY,Weyerhaeuser,Real Estate,Timber REITs,26.079999923706055
WSM,"Williams-Sonoma, Inc.",Consumer Discretionary,Homefurnishing Retail,160.3699951171875
WMB,Williams Companies,Energy,Oil & Gas Storage & Transportation,59.81999969482422
WTW,Willis Towers Watson,Financials,Insurance Brokers,311.6000061035156
WDAY,"Workday, Inc.",Information Technology,Application Software,250.69000244140625
WYNN,Wynn Resorts,Consumer Discretionary,Casinos & Gaming,82.58999633789062
XEL,Xcel Energy,Utilities,Multi-Utilities,70.44999694824219
XYL,Xylem Inc.,Industrials,Industrial Machinery & Supplies & Components,124.9800033569336
YUM,Yum! Brands,Consumer Discretionary,Restaurants,148.5500030517578
ZBRA,Zebra Technologies,Information Technology,Electronic Equipment & Instruments,255.58999633789062
ZBH,Zimmer Biomet,Health Care,Health Care Equipment,101.51000213623047
ZTS,Zoetis,Health Care,Pharmaceuticals,157.44500732421875
